#multiword-expression	sentiment-view	polarity
jump_on_the_bandwagon	ACTOR	POSITIVE
jump_ship	SPEAKER	NEGATIVE
jump_the_gun	SPEAKER	NEGATIVE
jump_the_shark	SPEAKER	NEGATIVE
keep_a_close_watch_on	ACTOR	NEUTRAL
keep_a_cool_head	SPEAKER	POSITIVE
keep_a_low_profile	ACTOR	POSITIVE
keep_a_secret	SPEAKER	NEUTRAL
keep_a_straight_face	SPEAKER	NEUTRAL
keep_an_eye	ACTOR	NEUTRAL
keep_an_eye_on	ACTOR	NEUTRAL
keep_an_eye_out	ACTOR	NEUTRAL
keep_an_eye_out_for	ACTOR	NEUTRAL
keep_faith	ACTOR	POSITIVE
keep_in_mind	ACTOR	NEUTRAL
keep_in_touch	ACTOR	POSITIVE
keep_one's_cool	ACTOR	POSITIVE
keep_one's_counsel	ACTOR	NEUTRAL
keep_one's_distance	ACTOR	NEGATIVE
keep_one's_eye_on	ACTOR	NEUTRAL
keep_one's_eyes_off	SPEAKER	NEGATIVE
keep_one's_eyes_open	ACTOR	NEUTRAL
keep_one's_hands_off	SPEAKER	NEGATIVE
keep_one's_head	SPEAKER	POSITIVE
keep_one's_head_above_water	SPEAKER	POSITIVE
keep_one's_lips_sealed	ACTOR	NEUTRAL
keep_one's_mouth_shut	SPEAKER	NEUTRAL
keep_one's_own_counsel	ACTOR	NEUTRAL
keep_one's_peace	ACTOR	NEUTRAL
keep_one's_place	SPEAKER	POSITIVE
keep_one's_word	SPEAKER	POSITIVE
keep_one_in_the_dark	ACTOR	NEGATIVE
keep_pace	SPEAKER	POSITIVE
keep_pace_with	SPEAKER	POSITIVE
keep_secret	ACTOR	NEUTRAL
keep_tabs_on	ACTOR	NEUTRAL
keep_the_baby	ACTOR	POSITIVE
keep_the_peace	ACTOR	POSITIVE
keep_track	ACTOR	POSITIVE
keep_up_with_the_times	ACTOR	POSITIVE
keep_watch	ACTOR	NEUTRAL
kick_arse	SPEAKER	POSITIVE
kick_ass	SPEAKER	POSITIVE
kick_butt	SPEAKER	NEGATIVE
kick_the_bucket	SPEAKER	NEGATIVE
kill_time	ACTOR	POSITIVE
knock_on_wood	SPEAKER	POSITIVE
knock_the_daylight_out_of	SPEAKER	NEUTRAL
knock_the_living_daylights_out_of	SPEAKER	NEUTRAL
know_a_thing_or_two	SPEAKER	POSITIVE
know_no_bounds	SPEAKER	NEUTRAL
know_one's_onions	SPEAKER	POSITIVE
know_one's_place	ACTOR	NEUTRAL
know_one's_shit	SPEAKER	POSITIVE
know_one's_stuff	SPEAKER	POSITIVE
know_one's_way_around	SPEAKER	POSITIVE
know_the_score	ACTOR	POSITIVE
laugh_all_the_way_to_the_bank	SPEAKER	NEUTRAL
laugh_in_one's_face	SPEAKER	NEGATIVE
laugh_one's_head_off	ACTOR	NEUTRAL
lay_claim	ACTOR	POSITIVE
lay_claim_to	ACTOR	POSITIVE
lay_down_one's_life	ACTOR	POSITIVE
lay_down_the_law	SPEAKER	NEGATIVE
lay_one's_hands_on	SPEAKER	POSITIVE
lay_the_groundwork	SPEAKER	POSITIVE
lay_to_rest	ACTOR	NEGATIVE
lay_waste	SPEAKER	NEGATIVE
lead_a_double_life	SPEAKER	NEGATIVE
leap_for_joy	ACTOR	POSITIVE
leap_to_mind	ACTOR	NEUTRAL
learn_from_experience	ACTOR	POSITIVE
learn_the_hard_way	ACTOR	NEGATIVE
leave_no_stone_unturned	SPEAKER	POSITIVE
leave_someone_in_the_lurch	SPEAKER	NEGATIVE
leave_to_one's_own_devices	SPEAKER	POSITIVE
lend_a_hand	SPEAKER	POSITIVE
let_one's_hair_down	SPEAKER	POSITIVE
let_one_rip	SPEAKER	NEGATIVE
let_the_buyer_beware	SPEAKER	NEUTRAL
let_the_cat_out_of_the_bag	SPEAKER	NEGATIVE
let_the_good_times_roll	SPEAKER	NEGATIVE
lie_in_wait	SPEAKER	NEGATIVE
like_the_sound_of	ACTOR	POSITIVE
line_one's_pocket	SPEAKER	NEGATIVE
live_a_lie	SPEAKER	NEGATIVE
live_at_Her_Majesty's_pleasure	SPEAKER	NEGATIVE
live_in_poverty	ACTOR	NEGATIVE
live_in_the_past	SPEAKER	NEGATIVE
live_in_the_present	SPEAKER	POSITIVE
live_on_one's_own	SPEAKER	POSITIVE
live_on_the_edge	SPEAKER	NEUTRAL
look_bad	SPEAKER	NEGATIVE
look_down_one's_nose	SPEAKER	NEGATIVE
look_for_trouble	SPEAKER	NEGATIVE
look_the_other_way	SPEAKER	NEGATIVE
look_the_part	SPEAKER	POSITIVE
lose_contact	ACTOR	NEGATIVE
lose_count	SPEAKER	NEGATIVE
lose_face	ACTOR	NEGATIVE
lose_ground	SPEAKER	NEGATIVE
lose_one's_cool	SPEAKER	NEGATIVE
lose_one's_grip	SPEAKER	NEGATIVE
lose_one's_head	SPEAKER	NEGATIVE
lose_one's_life	ACTOR	NEGATIVE
lose_one's_marbles	SPEAKER	NEGATIVE
lose_one's_mind	SPEAKER	NEGATIVE
lose_one's_nerve	ACTOR	NEGATIVE
lose_one's_rag	ACTOR	NEGATIVE
lose_one's_shirt	SPEAKER	NEGATIVE
lose_one's_temper	SPEAKER	NEGATIVE
lose_one's_touch	SPEAKER	NEGATIVE
lose_one's_virginity	ACTOR	NEUTRAL
lose_one's_way	SPEAKER	NEGATIVE
lose_sight_of	SPEAKER	NEGATIVE
lose_sleep	ACTOR	NEGATIVE
lose_the_plot	SPEAKER	NEGATIVE
lose_the_thread	SPEAKER	NEGATIVE
lose_touch	ACTOR	NEGATIVE
lose_track	SPEAKER	NEGATIVE
lose_track_of	SPEAKER	NEGATIVE
lose_weight	SPEAKER	NEUTRAL
lower_the_boom_on	ACTOR	NEGATIVE
make_a_big_splash	SPEAKER	POSITIVE
make_a_book	ACTOR	POSITIVE
make_a_change	SPEAKER	NEGATIVE
make_a_claim	ACTOR	POSITIVE
make_a_comment	ACTOR	NEUTRAL
make_a_commitment	ACTOR	NEUTRAL
make_a_contribution	SPEAKER	POSITIVE
make_a_deal	ACTOR	NEUTRAL
make_a_decision	ACTOR	POSITIVE
make_a_dent_in	SPEAKER	NEUTRAL
make_a_difference	SPEAKER	POSITIVE
make_a_fool_of	SPEAKER	NEGATIVE
make_a_fool_out_of	SPEAKER	NEGATIVE
make_a_fuss	ACTOR	NEGATIVE
make_a_go	ACTOR	POSITIVE
make_a_go_of	SPEAKER	POSITIVE
make_a_habit_of	ACTOR	NEUTRAL
make_a_hit	ACTOR	POSITIVE
make_a_laughingstock_of	SPEAKER	NEGATIVE
make_a_living	SPEAKER	POSITIVE
make_a_mess_of	SPEAKER	NEGATIVE
make_a_mistake	SPEAKER	NEGATIVE
make_a_mockery_of	SPEAKER	NEGATIVE
make_a_monkey_of	SPEAKER	NEGATIVE
make_a_monkey_out_of	SPEAKER	NEGATIVE
make_a_mountain_out_of_a_molehill	SPEAKER	NEGATIVE
make_a_move	ACTOR	NEUTRAL
make_a_note	ACTOR	NEUTRAL
make_a_pass	ACTOR	NEGATIVE
make_a_point	ACTOR	POSITIVE
make_a_point_of	ACTOR	POSITIVE
make_a_profit	SPEAKER	POSITIVE
make_a_scene	SPEAKER	NEGATIVE
make_a_splash	SPEAKER	POSITIVE
make_a_stand	ACTOR	NEGATIVE
make_a_statement	ACTOR	NEUTRAL
make_a_success_of	SPEAKER	POSITIVE
make_amends	SPEAKER	NEGATIVE
make_an_appearance	SPEAKER	NEUTRAL
make_an_ass_of	SPEAKER	NEGATIVE
make_an_attempt	ACTOR	POSITIVE
make_an_effort	SPEAKER	POSITIVE
make_an_error	SPEAKER	NEGATIVE
make_an_impression	ACTOR	POSITIVE
make_an_offer	ACTOR	POSITIVE
make_believe	SPEAKER	NEGATIVE
make_book	ACTOR	POSITIVE
make_effective_use_of	SPEAKER	POSITIVE
make_ends_meet	ACTOR	POSITIVE
make_fun	SPEAKER	NEGATIVE
make_fun_of	SPEAKER	NEGATIVE
make_game_of	SPEAKER	NEGATIVE
make_head_or_tail_of	ACTOR	POSITIVE
make_headway	SPEAKER	POSITIVE
make_history	SPEAKER	POSITIVE
make_light	SPEAKER	NEGATIVE
make_light_of	SPEAKER	NEGATIVE
make_love	ACTOR	POSITIVE
make_love_to	ACTOR	POSITIVE
make_matters_worse	SPEAKER	NEGATIVE
make_mention_of	ACTOR	NEUTRAL
make_money	SPEAKER	POSITIVE
make_no_bones_about	ACTOR	NEUTRAL
make_no_mistake_about	SPEAKER	NEUTRAL
make_noise	SPEAKER	NEGATIVE
make_off	SPEAKER	NEGATIVE
make_one's_day	ACTOR	POSITIVE
make_one's_fortune	ACTOR	POSITIVE
make_one's_hair_stand_on_end	ACTOR	NEGATIVE
make_one's_mark	SPEAKER	POSITIVE
make_one's_mind_up	ACTOR	POSITIVE
make_one's_name	SPEAKER	NEUTRAL
make_one's_point	ACTOR	POSITIVE
make_one's_presence_felt	SPEAKER	NEUTRAL
make_one's_way	SPEAKER	POSITIVE
make_one's_way_across	SPEAKER	POSITIVE
make_one's_way_back	SPEAKER	POSITIVE
make_one's_way_in_the_world	SPEAKER	POSITIVE
make_peace	ACTOR	POSITIVE
make_progress	SPEAKER	POSITIVE
make_promise	ACTOR	POSITIVE
make_room	SPEAKER	POSITIVE
make_sense	SPEAKER	POSITIVE
make_sport_of	SPEAKER	NEGATIVE
make_sure	ACTOR	POSITIVE
make_the_best_of	ACTOR	POSITIVE
make_the_cut	SPEAKER	POSITIVE
make_the_grade	SPEAKER	POSITIVE
make_the_most_of	SPEAKER	POSITIVE
make_the_world_go_round	SPEAKER	POSITIVE
make_things_worse	SPEAKER	NEGATIVE
make_time	ACTOR	POSITIVE
make_time_for	ACTOR	POSITIVE
make_trouble	SPEAKER	NEGATIVE
make_up_one's_mind	ACTOR	POSITIVE
make_waves	SPEAKER	NEGATIVE
make_way	SPEAKER	NEUTRAL
mark_time	ACTOR	POSITIVE
mean_business	SPEAKER	NEUTRAL
meet_one's_end	ACTOR	NEGATIVE
meet_one's_maker	ACTOR	NEGATIVE
meet_one's_match	SPEAKER	NEUTRAL
meet_your_maker	SPEAKER	NEGATIVE
melt_in_one's_mouth	SPEAKER	POSITIVE
mince_words	SPEAKER	NEGATIVE
mind_one's_own_business	SPEAKER	NEGATIVE
miss_the_boat	SPEAKER	NEGATIVE
miss_the_mark	SPEAKER	NEGATIVE
miss_the_point	SPEAKER	NEGATIVE
name_drop	SPEAKER	NEGATIVE
name_names	SPEAKER	NEGATIVE
need_no_introduction	SPEAKER	POSITIVE
never_change_a_running_system	SPEAKER	POSITIVE
not_give_a_tinker's_cuss	ACTOR	NEGATIVE
not_give_a_tinker's_damn	ACTOR	NEGATIVE
open_fire	SPEAKER	NEGATIVE
open_one's_mouth	SPEAKER	NEUTRAL
outstay_one's_welcome	SPEAKER	NEGATIVE
overstay_one's_welcome	SPEAKER	NEGATIVE
pack_a_punch	ACTOR	POSITIVE
pack_a_wallop	SPEAKER	POSITIVE
pale_in_comparison	SPEAKER	NEGATIVE
part_company	ACTOR	NEGATIVE
part_ways	ACTOR	NEGATIVE
pass_gas	SPEAKER	NEGATIVE
pass_muster	SPEAKER	POSITIVE
pass_the_time	ACTOR	POSITIVE
pass_the_time_of_day	ACTOR	POSITIVE
pass_time	ACTOR	POSITIVE
pat_on_the_back	ACTOR	POSITIVE
pave_the_way	SPEAKER	POSITIVE
pay_a_visit	ACTOR	POSITIVE
pay_attention	ACTOR	NEUTRAL
pay_heed	ACTOR	NEUTRAL
pay_heed_to	ACTOR	NEUTRAL
pay_lip_service_to	SPEAKER	NEGATIVE
pay_respect	ACTOR	POSITIVE
pay_the_bills	SPEAKER	POSITIVE
pay_the_fiddler	ACTOR	NEGATIVE
pay_the_penalty	ACTOR	NEGATIVE
pay_the_piper	ACTOR	NEGATIVE
pay_the_price	SPEAKER	NEGATIVE
pay_tribute	ACTOR	POSITIVE
pee_one's_pants	SPEAKER	NEUTRAL
perish_the_thought	SPEAKER	NEGATIVE
pick_one's_nose	SPEAKER	NEGATIVE
pick_up_speed	SPEAKER	POSITIVE
piss_up_a_rope	SPEAKER	NEGATIVE
pitch_a_fit	SPEAKER	NEGATIVE
place_emphasis	ACTOR	POSITIVE
play_a_part_in	SPEAKER	NEUTRAL
play_a_role	SPEAKER	NEUTRAL
play_ball	ACTOR	POSITIVE
play_dead	ACTOR	NEGATIVE
play_house	SPEAKER	NEUTRAL
play_possum	SPEAKER	NEGATIVE
play_second_fiddle	SPEAKER	NEGATIVE
play_the_game	SPEAKER	POSITIVE
play_the_same_game	SPEAKER	NEGATIVE
play_with_fire	SPEAKER	NEGATIVE
plead_guilty_to	ACTOR	NEGATIVE
point_taken	ACTOR	POSITIVE
point_the_finger	ACTOR	NEGATIVE
point_the_finger_at	ACTOR	NEGATIVE
poke_fun	SPEAKER	NEGATIVE
poke_fun_at	SPEAKER	NEGATIVE
pop_one's_cork	SPEAKER	NEGATIVE
pop_someone's_cherry	SPEAKER	NEUTRAL
pop_the_cherry	SPEAKER	NEUTRAL
pose_a_problem	SPEAKER	NEGATIVE
pose_a_threat	ACTOR	NEGATIVE
pound_sand	SPEAKER	NEGATIVE
pour_gasoline_on_the_fire	SPEAKER	NEGATIVE
pour_one's_heart_out	ACTOR	NEUTRAL
preach_to_the_choir	SPEAKER	NEGATIVE
press_into_service	ACTOR	NEUTRAL
prove_one's_mettle	SPEAKER	POSITIVE
provide_support	ACTOR	POSITIVE
pull_one's_head_in	ACTOR	NEGATIVE
pull_one's_leg	ACTOR	POSITIVE
pull_one's_punches	ACTOR	NEGATIVE
pull_one's_weight	SPEAKER	POSITIVE
pull_out_all_the_stops	SPEAKER	POSITIVE
pull_the_plug	ACTOR	NEGATIVE
pull_the_trigger	SPEAKER	NEUTRAL
pull_up_one's_socks	SPEAKER	POSITIVE
punch_one's_ticket	ACTOR	POSITIVE
push_the_envelope	SPEAKER	NEUTRAL
put_a_damper_on	SPEAKER	NEGATIVE
put_a_sock_in_it	SPEAKER	NEGATIVE
put_a_stop_to	ACTOR	NEGATIVE
put_a_strain_on	SPEAKER	NEGATIVE
put_an_end_to	ACTOR	NEGATIVE
put_emphasis	ACTOR	POSITIVE
put_food_on_the_table	SPEAKER	POSITIVE
put_in_an_appearance	SPEAKER	NEUTRAL
put_in_motion	SPEAKER	NEUTRAL
put_into_practice	SPEAKER	POSITIVE
put_one's_affairs_in_order	ACTOR	NEUTRAL
put_one's_best_foot_forward	SPEAKER	POSITIVE
put_one's_finger_on	ACTOR	NEUTRAL
put_one's_foot_down	ACTOR	NEUTRAL
put_one's_heart_and_soul_into	SPEAKER	POSITIVE
put_one's_house_in_order	SPEAKER	POSITIVE
put_one's_mind_to	ACTOR	POSITIVE
put_one's_money_on	ACTOR	POSITIVE
put_one's_trust_in	ACTOR	POSITIVE
put_out_feelers	ACTOR	NEUTRAL
put_pressure_on	SPEAKER	NEGATIVE
put_someone_in_mind_of	ACTOR	NEUTRAL
put_the_blame_on	ACTOR	NEGATIVE
put_the_pedal_to_the_metal	SPEAKER	NEUTRAL
put_through_its_paces	ACTOR	NEUTRAL
put_to_death	SPEAKER	NEGATIVE
put_to_rest	ACTOR	NEUTRAL
put_to_shame	ACTOR	NEGATIVE
put_to_the_test	ACTOR	NEUTRAL
put_two_and_two_together	ACTOR	NEUTRAL
rack_one's_brain	ACTOR	NEGATIVE
rain_on_one's_parade	SPEAKER	NEGATIVE
rain_on_somebody's_parade	SPEAKER	NEGATIVE
raise_Cain	SPEAKER	NEGATIVE
raise_a_hand	ACTOR	POSITIVE
raise_hell	SPEAKER	NEGATIVE
raise_hob	SPEAKER	NEGATIVE
raise_money	ACTOR	POSITIVE
raise_one's_hand	SPEAKER	NEGATIVE
raise_the_bar	SPEAKER	NEUTRAL
raise_the_devil	SPEAKER	NEGATIVE
raise_the_money	SPEAKER	POSITIVE
raise_the_question	ACTOR	NEUTRAL
raise_the_roof	SPEAKER	NEUTRAL
raise_the_stakes	SPEAKER	NEUTRAL
reach_a_conclusion	ACTOR	POSITIVE
reach_the_top	SPEAKER	POSITIVE
read_one's_mind	ACTOR	POSITIVE
read_the_riot_act	ACTOR	NEGATIVE
reap_the_benefit	SPEAKER	POSITIVE
reinvent_the_wheel	SPEAKER	NEGATIVE
rest_in_peace	SPEAKER	POSITIVE
rest_on_one's_laurels	SPEAKER	NEGATIVE
return_to_form	SPEAKER	POSITIVE
ride_the_lightning	ACTOR	NEGATIVE
ride_the_wave	SPEAKER	NEUTRAL
ring_a_bell	SPEAKER	NEUTRAL
rise_from_the_dead	SPEAKER	POSITIVE
rise_from_the_grave	SPEAKER	POSITIVE
rise_to_the_challenge	SPEAKER	POSITIVE
rise_to_the_occasion	SPEAKER	POSITIVE
rise_to_the_surface	SPEAKER	NEUTRAL
rock_the_boat	SPEAKER	NEGATIVE
rock_the_house	ACTOR	POSITIVE
roll_in_one's_grave	SPEAKER	NEGATIVE
roll_one's_eyes	ACTOR	NEGATIVE
roll_the_dice	SPEAKER	NEUTRAL
roll_up_one's_sleeves	ACTOR	NEUTRAL
rub_salt_in_the_wound	SPEAKER	NEGATIVE
rule_the_roost	SPEAKER	NEUTRAL
run_circles_around	SPEAKER	POSITIVE
run_for_cover	ACTOR	NEGATIVE
run_for_one's_life	ACTOR	NEGATIVE
run_for_the_hills	ACTOR	NEGATIVE
run_for_your_life	ACTOR	NEGATIVE
run_in_the_family	SPEAKER	NEUTRAL
run_one's_course	SPEAKER	NEUTRAL
run_out_of_steam	SPEAKER	NEGATIVE
run_rings_around	SPEAKER	POSITIVE
run_the_gamut	SPEAKER	NEUTRAL
run_the_gauntlet	SPEAKER	NEGATIVE
run_the_show	SPEAKER	POSITIVE
run_with_scissors	SPEAKER	NEGATIVE
save_by_the_bell	ACTOR	POSITIVE
save_face	ACTOR	POSITIVE
save_one's_life	SPEAKER	POSITIVE
save_one's_soul	SPEAKER	POSITIVE
save_the_day	SPEAKER	POSITIVE
say_one's_piece	ACTOR	NEUTRAL
scare_one_to_death	ACTOR	NEGATIVE
scare_the_pants_off	ACTOR	NEGATIVE
scratch_one's_head	ACTOR	NEGATIVE
scratch_the_surface	SPEAKER	NEGATIVE
screw_the_pooch	SPEAKER	NEGATIVE
seal_one's_fate	SPEAKER	NEUTRAL
seal_the_deal	ACTOR	POSITIVE
see_eye_to_eye	ACTOR	POSITIVE
see_life	ACTOR	POSITIVE
see_red	ACTOR	NEGATIVE
see_the_light	ACTOR	POSITIVE
see_the_light_of_day	SPEAKER	NEUTRAL
see_the_point	ACTOR	POSITIVE
see_things	SPEAKER	NEGATIVE
seize_the_day	SPEAKER	NEUTRAL
sell_a_pup	SPEAKER	NEGATIVE
sell_one's_birthright_for_a_mess_of_pottage	SPEAKER	NEGATIVE
sell_one's_soul	SPEAKER	NEGATIVE
serve_time	SPEAKER	NEGATIVE
set_a_good_example	SPEAKER	POSITIVE
set_a_trap	SPEAKER	NEGATIVE
set_fire_to	ACTOR	NEGATIVE
set_in_motion	SPEAKER	NEUTRAL
set_in_stone	SPEAKER	NEUTRAL
set_on_fire	ACTOR	POSITIVE
set_one's_mind_to	ACTOR	POSITIVE
set_the_bar	SPEAKER	NEUTRAL
set_the_pace	SPEAKER	POSITIVE
set_the_record_straight	SPEAKER	NEUTRAL
set_the_scene	SPEAKER	NEUTRAL
set_the_stage	SPEAKER	NEUTRAL
set_the_stage_for	SPEAKER	NEUTRAL
set_the_tone	SPEAKER	NEUTRAL
set_the_world_on_fire	SPEAKER	POSITIVE
settle_one's_affairs	ACTOR	NEUTRAL
shake_hands	ACTOR	POSITIVE
shake_one's_head	ACTOR	NEGATIVE
shed_a_tear	ACTOR	NEGATIVE
shed_light_on	SPEAKER	POSITIVE
shed_tears	ACTOR	NEGATIVE
show_interest	ACTOR	POSITIVE
show_one's_face	SPEAKER	NEUTRAL
show_one's_true_colors	SPEAKER	NEGATIVE
show_one's_true_stripes	SPEAKER	NEGATIVE
show_promise	SPEAKER	POSITIVE
show_respect	ACTOR	POSITIVE
shut_one's_face	SPEAKER	NEGATIVE
shut_one's_mouth	ACTOR	NEUTRAL
shut_one’s_face	SPEAKER	NEGATIVE
shut_one’s_gob	SPEAKER	NEGATIVE
shut_one’s_mouth	ACTOR	NEUTRAL
shut_one’s_trap	SPEAKER	NEGATIVE
sink_one's_teeth_into	SPEAKER	POSITIVE
sit_on_the_fence	ACTOR	NEUTRAL
sit_up_and_take_notice	ACTOR	NEUTRAL
slip_one's_mind	ACTOR	NEGATIVE
smell_a_rat	ACTOR	NEGATIVE
smell_blood	SPEAKER	NEGATIVE
spare_no_expense	SPEAKER	POSITIVE
speak_one's_mind	SPEAKER	NEUTRAL
speak_the_same_language	SPEAKER	POSITIVE
speak_the_truth	SPEAKER	POSITIVE
spill_one's_guts	SPEAKER	NEUTRAL
spill_the_beans	SPEAKER	NEGATIVE
spread_like_wildfire	SPEAKER	NEUTRAL
spread_one's_wings	ACTOR	NEUTRAL
spring_to_life	SPEAKER	POSITIVE
spring_to_mind	ACTOR	NEUTRAL
stand_a_chance	SPEAKER	POSITIVE
stand_in_one's_way	ACTOR	NEGATIVE
stand_in_the_way_of	ACTOR	NEGATIVE
stand_on_end	SPEAKER	NEGATIVE
stand_one's_ground	SPEAKER	NEUTRAL
stand_the_test_of_time	SPEAKER	POSITIVE
stand_to_reason	SPEAKER	NEUTRAL
stand_trial	ACTOR	NEGATIVE
start_from_scratch	SPEAKER	NEUTRAL
stay_on_top	SPEAKER	NEUTRAL
stay_the_course	SPEAKER	POSITIVE
steal_the_scene	SPEAKER	NEUTRAL
steal_the_show	SPEAKER	POSITIVE
stem_the_tide	SPEAKER	NEGATIVE
step_up_to_the_plate	ACTOR	POSITIVE
stick_in_one's_mind	ACTOR	NEUTRAL
stick_in_the_mud	SPEAKER	NEGATIVE
stick_one's_neck_out	SPEAKER	NEGATIVE
stick_out_like_a_sore_thumb	SPEAKER	NEUTRAL
stick_to_one's_knitting	SPEAKER	POSITIVE
stop_and_smell_the_roses	ACTOR	POSITIVE
stop_one_dead	ACTOR	NEGATIVE
stop_the_presses	SPEAKER	NEUTRAL
stop_the_show	SPEAKER	POSITIVE
strap_on_a_pair	SPEAKER	NEGATIVE
stretch_the_truth	SPEAKER	NEGATIVE
strike_a_balance	SPEAKER	POSITIVE
strike_a_chord	ACTOR	NEUTRAL
strike_a_nerve	SPEAKER	NEGATIVE
strike_gold	SPEAKER	POSITIVE
strut_one's_stuff	SPEAKER	NEUTRAL
suspend_one's_disbelief	ACTOR	POSITIVE
swallow_one's_pride	ACTOR	POSITIVE
sweeten_the_pot	SPEAKER	POSITIVE
take_Time_by_the_forelock	ACTOR	POSITIVE
take_a_back_seat	ACTOR	NEUTRAL
take_a_beating	SPEAKER	NEGATIVE
take_a_bite	SPEAKER	NEGATIVE
take_a_bow	ACTOR	POSITIVE
take_a_break	ACTOR	POSITIVE
take_a_breath	ACTOR	POSITIVE
take_a_breather	ACTOR	POSITIVE
take_a_chance	SPEAKER	NEUTRAL
take_a_crack_at	ACTOR	POSITIVE
take_a_decision	ACTOR	POSITIVE
take_a_dive	SPEAKER	NEGATIVE
take_a_flyer	SPEAKER	NEUTRAL
take_a_gamble	ACTOR	NEUTRAL
take_a_gander	ACTOR	NEUTRAL
take_a_guess	ACTOR	NEUTRAL
take_a_hike	SPEAKER	NEGATIVE
take_a_hint	ACTOR	NEUTRAL
take_a_joke	SPEAKER	POSITIVE
take_a_long_time	SPEAKER	NEGATIVE
take_a_look	ACTOR	NEUTRAL
take_a_number	SPEAKER	NEGATIVE
take_a_risk	SPEAKER	NEGATIVE
take_a_run_at	ACTOR	NEUTRAL
take_a_shine	ACTOR	POSITIVE
take_a_stab_at	ACTOR	NEUTRAL
take_a_stand	SPEAKER	NEUTRAL
take_a_turn_for_the_better	SPEAKER	POSITIVE
take_a_turn_for_the_worse	SPEAKER	NEGATIVE
take_a_walk_on_the_wild_side	SPEAKER	NEGATIVE
take_account_of	ACTOR	NEUTRAL
take_action	ACTOR	NEGATIVE
take_advantage	ACTOR	NEUTRAL
take_advantage_of	SPEAKER	NEUTRAL
take_aim	ACTOR	NEUTRAL
take_an_interest_in	ACTOR	POSITIVE
take_care	ACTOR	POSITIVE
take_care_of	ACTOR	POSITIVE
take_charge	ACTOR	POSITIVE
take_charge_of	ACTOR	POSITIVE
take_command	ACTOR	POSITIVE
take_control	ACTOR	NEUTRAL
take_control_of	ACTOR	NEUTRAL
take_courage	ACTOR	POSITIVE
take_cover	ACTOR	NEGATIVE
take_credit_for	SPEAKER	NEGATIVE
take_effect	SPEAKER	POSITIVE
take_exception	ACTOR	NEGATIVE
take_five	ACTOR	POSITIVE
take_flight	ACTOR	NEGATIVE
take_heart	ACTOR	POSITIVE
take_heed	ACTOR	NEUTRAL
take_heed_of	ACTOR	NEUTRAL
take_hostage	ACTOR	NEGATIVE
take_into_account	ACTOR	NEUTRAL
take_into_consideration	ACTOR	NEUTRAL
take_inventory	ACTOR	NEUTRAL
take_issue_with	ACTOR	NEGATIVE
take_it_like_a_man	SPEAKER	POSITIVE
take_leave	ACTOR	NEUTRAL
take_liberties	SPEAKER	NEGATIVE
take_life	SPEAKER	NEGATIVE
take_no_notice_of	ACTOR	NEGATIVE
take_note	ACTOR	POSITIVE
take_note_of	ACTOR	NEUTRAL
take_notes	ACTOR	POSITIVE
take_notice	ACTOR	NEUTRAL
take_offense	ACTOR	NEGATIVE
take_one's_breath_away	ACTOR	NEUTRAL
take_one's_chance	SPEAKER	NEUTRAL
take_one's_chances	SPEAKER	NEUTRAL
take_one's_eyes_off	SPEAKER	NEUTRAL
take_one's_hat_off	ACTOR	POSITIVE
take_one's_hat_off_to	ACTOR	POSITIVE
take_one's_leave	ACTOR	NEUTRAL
take_one's_mind_off	ACTOR	NEGATIVE
take_one's_own_life	ACTOR	NEGATIVE
take_one's_pick	ACTOR	POSITIVE
take_one's_time	ACTOR	POSITIVE
take_one_for_the_team	ACTOR	NEGATIVE
take_out_of_context	SPEAKER	NEGATIVE
take_pains	SPEAKER	POSITIVE
take_part	ACTOR	POSITIVE
take_part_in	ACTOR	POSITIVE
take_pity_on	ACTOR	POSITIVE
take_pleasure	ACTOR	POSITIVE
take_point	SPEAKER	NEUTRAL
take_pride	ACTOR	POSITIVE
take_pride_in	ACTOR	POSITIVE
take_refuge	ACTOR	POSITIVE
take_refuge_in	ACTOR	POSITIVE
take_responsibility	ACTOR	NEGATIVE
take_revenge	ACTOR	NEGATIVE
take_root	SPEAKER	NEUTRAL
take_second_place	SPEAKER	NEGATIVE
take_shape	SPEAKER	NEUTRAL
take_some_time	SPEAKER	NEGATIVE
take_someone's_time	ACTOR	POSITIVE
take_steps	ACTOR	NEUTRAL
take_stock	ACTOR	NEUTRAL
take_stock_of	ACTOR	NEUTRAL
take_the_biscuit	SPEAKER	NEGATIVE
take_the_cake	SPEAKER	POSITIVE
take_the_edge_off	SPEAKER	POSITIVE
take_the_fall	SPEAKER	NEGATIVE
take_the_heat	ACTOR	NEGATIVE
take_the_initiative	ACTOR	NEUTRAL
take_the_law_into_one's_own_hands	SPEAKER	NEGATIVE
take_the_lead	SPEAKER	NEUTRAL
take_the_liberty	SPEAKER	NEGATIVE
take_the_plunge	ACTOR	NEUTRAL
take_the_point	ACTOR	POSITIVE
take_the_reins	ACTOR	NEUTRAL
take_the_stage	SPEAKER	NEUTRAL
take_the_time	ACTOR	POSITIVE
take_the_trouble	SPEAKER	POSITIVE
take_the_view_that	ACTOR	NEUTRAL
take_the_wheel	ACTOR	NEUTRAL
take_things_as_they_come	ACTOR	POSITIVE
take_time	ACTOR	POSITIVE
take_time_out	ACTOR	POSITIVE
take_to_heart	ACTOR	NEUTRAL
take_to_task	ACTOR	NEGATIVE
take_umbrage	ACTOR	NEGATIVE
